,Brand,Price,MRP,Processor,Rating,Reviews,Reviews1,Ram,Ava_offer
66,HP Pavilion x360 Core i3 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14-dh1178TU 2 in 1 Laptop,"₹49,990","₹73,990","Intel Core i3 Processor (10th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD35.56 cm (14 inch) Touchscreen DisplayMicrosoft Office Home and Student 2019, HP Audio Switch, HP ePrint, HP Connection Optimizer, HP Support Assistant, HP Recovery Manager, HP Documentation, HP System Event Utility, HP Jumpstart, Built-in Alexa1 Year Onsite Warranty",3,"4,063 Ratings & 603 Reviews","4,063 Ratings & 603 Reviews",Intel Core i5 Processor (10th Gen),35% off
67,ASUS Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) X509JB-EJ591T Laptop,"₹51,990","₹1,04,990","Intel Core i5 Processor (10th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayMy Asus, Splendid1 Year Onsite Warranty",4,287 Ratings & 34 Reviews,287 Ratings & 34 Reviews,8 GB DDR4 RAM,4% off
68,Lenovo Ideapad S145 APU Dual Core A6 A6-9225 - (4 GB/1 TB HDD/Windows 10 Home) S145-15AST Thin and Lig...,"₹25,990","₹63,790",AMD APU Dual Core A6 Processor4 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD39.62 cm (15.6 inch) Display1 Year Onsite Warranty,4,"1,294 Ratings & 174 Reviews","1,294 Ratings & 174 Reviews",64 bit Windows 10 Operating System,16% off
69,ASUS VivoBook Ultra 14 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) X413EA-EB513TS Thin and Li...,"₹54,990","₹50,990","Intel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD35.56 cm (14 inch) DisplayMicrosoft Office Home and Student 2019, Splendid, My Asus, Tru2Life1 Year Onsite Warranty",5,542 Ratings & 58 Reviews,542 Ratings & 58 Reviews,512 GB SSD,31% off
70,msi GF63 Thin Core i7 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650...,"₹64,990","₹50,098","Intel Core i7 Processor (9th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayCooler Boost, Audio Boost, Dragon Center, Nahimic 32 Years Carry In Warranty",4.5,329 Ratings & 68 Reviews,329 Ratings & 68 Reviews,39.62 cm (15.6 inch) Display,35% off
71,Lenovo Ideapad 3 Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15IIL05 Laptop,"₹43,990","₹85,290",Intel Core i5 Processor (10th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD39.62 cm (15.6 inch) Display1 Year Onsite Warranty,4,266 Ratings & 32 Reviews,266 Ratings & 32 Reviews,"My Asus, Splendid",3% off
72,ASUS VivoBook 14 Ryzen 5 Hexa Core 4500U - (8 GB/512 GB SSD/Windows 10 Home) M413IA-EK584T Thin and Li...,"₹49,990","₹1,00,990","AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD35.56 cm (14 inch) DisplayMy Asus, Splendid1 Year Onsite Warranty",3,67 Ratings & 13 Reviews,67 Ratings & 13 Reviews,1 Year Onsite Warranty,5% off
73,HP Pavilion x360 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 10 Home) 14-dh1181TU 2 in 1 Laptop,"₹45,990","₹44,466","Intel Core i3 Processor (10th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System256 GB SSD35.56 cm (14 inch) Touchscreen DisplayMicrosoft Office Home and Student 2019, HP Audio Switch, HP ePrint, Dropbox, HP Connection Optimizer, HP Support Assistant, HP Recovery Manager, HP Documentation, HP System Event Utility, HP Jumpstart1 Year Onsite Warranty",4.2,"1,157 Ratings & 197 Reviews","1,157 Ratings & 197 Reviews",AMD APU Dual Core A6 Processor,20% off
74,Lenovo Ideapad 5 Ryzen 7 Octa Core 4700U - (8 GB/512 GB SSD/Windows 10 Home) 14ARE05 Thin and Light La...,"₹59,990","₹33,268",AMD Ryzen 7 Octa Core Processor8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD35.56 cm (14 inch) DisplayMicrosoft Office Home and Student 20191 Year Onsite Warranty,4,132 Ratings & 23 Reviews,132 Ratings & 23 Reviews,4 GB DDR4 RAM,6% off
75,msi GF75 Thin Core i7 9th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForc...,"₹79,990","₹76,379","Intel Core i7 Processor (9th Gen)16 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD|256 GB SSD43.94 cm (17.3 inch) DisplayCooler Boost 5, Audio Boost, Dragon Center, Nahimic 32 Years Carry In Warranty",5,362 Ratings & 42 Reviews,362 Ratings & 42 Reviews,64 bit Windows 10 Operating System,1% off
76,HP 15s Ryzen 3 Dual Core 3250U - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 15s-GR0012AU Laptop,"₹41,590","₹83,368","AMD Ryzen 3 Dual Core Processor8 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD|256 GB SSD39.62 cm (15.6 inch) DisplayMicrosoft Office Home and Student 2019, HP Documentation, HP SSRM, HP Smart, HP Support Assistant1 Year Onsite Warranty",4.3,149 Ratings & 20 Reviews,149 Ratings & 20 Reviews,1 TB HDD,25% off
77,HP 15s Ryzen 3 Dual Core 3250U - (4 GB/1 TB HDD/Windows 10 Home) 15s-GR0006AU Thin and Light Laptop,"₹31,900","₹71,290","AMD Ryzen 3 Dual Core Processor4 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD39.62 cm (15.6 inch) DisplayMicrosoft Office Home and Student 2019, HP Documentation, HP Smart, HP Support Assistant1 Year Onsite Warranty",4.3,16 Ratings & 3 Reviews,16 Ratings & 3 Reviews,39.62 cm (15.6 inch) Display,38% off
78,HP Pavilion Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) 14-dv0054TU Thin and Light Laptop,"₹66,990","₹39,610","Intel Core i5 Processor (11th Gen)16 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD35.56 cm (14 inch) DisplayMicrosoft Office Home and Student 2019, HP Documentation, HP Smart, HP BIOS Recovery, HP Support Assistant, Dropbox1 Year Onsite Warranty",4.4,868 Ratings & 141 Reviews,868 Ratings & 141 Reviews,1 Year Onsite Warranty,31% off
79,Lenovo ThinkPad E14 Core i5 10th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home) E14 Thin and Light L...,"₹56,990","₹57,240",Intel Core i5 Processor (10th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD|128 GB SSD35.56 cm (14 inch) DisplayMicrosoft Office Home and Student 20191 Year Onsite Warranty,4.4,297 Ratings & 27 Reviews,297 Ratings & 27 Reviews,Intel Core i5 Processor (11th Gen),23% off
80,ASUS VivoBook 14 Ryzen 5 Hexa Core 4500U - (8 GB/512 GB SSD/Windows 10 Home) M413IA-EK582T Thin and Li...,"₹50,991","₹1,14,990","AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD35.56 cm (14 inch) DisplayMy Asus, Splendid1 Year Onsite Warranty",4.3,8 Ratings & 3 Reviews,8 Ratings & 3 Reviews,8 GB DDR4 RAM,4% off
